    Date           Stock     Reported  Dollar Value     Warrants
 (yyyymmdd)       Volume       Trades     (mils. $)       Volume
    19910419    195676210       107675        7133.3       818000
    19910422    163564350       111649        5755.3      1106200
    19910423    167310880       107015        5789.6       456700
    19910424    166474490       104658        5783.2       329900
    19910425    166401810       103417        5851.1       463900
    19910426    153504110        92038        4874.9       345900
    19910429    149176030       102036        5115.5       712500
    19910430    204486610       118804        7262.2       613300
    19910501    181330420       105371        6222.9       457900
    19910502    185672200       110875        6087.7       389600
    19910503    157882850        91742        5426.9       239300
    19910506    127994550        88201        4373.9       250100
    19910507    152991000        97701        5145.2       344200
    19910508    157171880        98166        5453.9       286400
    19910509    179651380       111653        6344.2       559400
    19910510    172526710       113186        5955.4       238200
    19910513    129169840        89840        4463.7       445800
    19910514    207448830       106999        6704.0       489600
    19910515    192847920       107932        6690.8       368600
    19910516    154170550        91300        5358.5       307200
    19910517    173633050        94262        6417.0       562900
    19910520    109340560        76528        3757.8       172900
    19910521    187551010        98896        6273.4       394800
    19910522    158960990        92349        5265.0       307400
    19910523    172777920       107506        5640.7       300800
    19910524    124502700        76837        4266.4       143500
    19910528    161995040        98618        5600.4       405100
    19910529    188138550       105569        6559.9       300700
    19910530    234289930       125170        8079.5       349300
    19910531    231917060       124999        8353.0       366900
    19910603    173693920       107669        6240.2       279800
    19910604    180139340       107082        6264.0       289000
    19910605    186265760       110093        6264.0       263400
    19910606    168010440        97005        5620.0       209000
    19910607    167697620        99937        5930.8       224200
    19910610    127384650        84672        4278.0       296800
    19910611    161182280        90918        5387.6       372600
    19910612    165565620        99898        5730.0       432200
    19910613    146612710        84041        5028.1       336000
    19910614    168932140        92024        5922.7       211700
    19910617    133719350        84133        4452.8       335300
    19910618    155409820        96944        5294.5       491800
    19910619    159285547        90486        5587.2       339900
    19910620    163199430        93775        5825.2       781900
    19910621    194212980       117521        7242.7       411400
    19910624    137730810        84063        4593.4       200000
    19910625    156777160        92833        5116.9       261900
    19910626    187194210       102472        6096.3       223800
    19910627    162784970        89803        5608.3       286200
    19910628    163452747       100535        5280.6       312800
    19910701    167242980        97579        5841.0       232400
    19910702    157161600        91017        5377.1       169200
    19910703    140379720        88827        4651.7       196300
    19910705     69643600        53957        2331.2       265300
    19910708    138887480        90276        4770.0       219300
    19910709    151389900        95861        5068.6       420300
    19910710    177887620       111037        6160.8       999100
    19910711    157471090        97520        5221.3       450800
    19910712    173907171       103095        5911.1       862100
    19910715    160190245       100138        5377.8       511800
    19910716    180632330       102669        5839.9       377000
    19910717    192351800       104143        6227.4      1557800
    19910718    198520216       106986        6526.0      1184100
    19910719    189552080       107803        6647.6       456100
    19910722    147948480        91664        4876.7       301700
    19910723    159213530        97507        5335.8       479600
    19910724    157998010        90244        5296.9       349300
    19910725    144469070        84319        4856.1       174400
    19910726    126390000        77840        4180.1       200600
    19910729    133331120        81921        4503.3       201600
    19910730    167627620        99070        5724.5       110700
    19910731    165441521        99571        5574.3       139000
    19910801    168085230        96664        5760.0       392700
    19910802    160228940        94287        5404.3       861200
    19910805    126503400        80201        4222.4       236600
    19910806    173924530       108054        6203.7       612000
    19910807    171580180       101168        5980.7       632600
    19910808    163431840       103310        5449.3       438700
    19910809    143640640        93003        4840.4       423600
    19910812    145007880        91152        4595.3       596400
    19910813    212339000       125988        7101.6       424500
    19910814    195211070       117357        6661.9       906700
    19910815    173844650       100457        5810.3       830600
    19910816    189044670       131054        6881.7       431300
    19910819    229654690       158593        8061.4       685300
    19910820    183848590       118036        6538.7       415200
    19910821    232178960       130445        8337.0       503100
    19910822    172710030       107177        6026.3       383200
    19910823    188298190       114895        6509.0       555700
    19910826    130292740        85545        4238.5       257100
    19910827    144482480        93926        4833.0       188500
    19910828    171546220       103972        5852.2       402500
    19910829    153665950        95053        5165.5       487600
    19910830    143228586        83489        4835.8       211600
    19910903    153528450        99257        5168.1       174900
    19910904    157364540        98064        5356.7       140100
    19910905    161521420        95996        5407.0       119900
    19910906    166636600       101045        5802.4       338100
    19910909    114852875        72958        3967.0       150000
    19910910    142822610        92938        4928.8       295300
    19910911    147677840        88426        5197.9       167900
    19910912    159924900        95539        5518.4       193000
    19910913    167465650       101373        5940.8       154300
    19910916    172092608       103935        5777.3       203600
    19910917    167715190        93259        5813.2       302600
    19910918    140472280        80426        4743.9       288400
    19910919    209774870       107422        7307.1       171500
    19910920    253306453       135447        9625.4       187000
    19910923    141873010        91580        4787.0       214900
    19910924    170119330        97090        5811.4       235700
    19910925    152822840        90765        5216.9       235800
    19910926    157921780        94857        5224.9       242400
    19910927    159122620        95346        5195.7       247400
    19910930    149494656        98842        4995.5       326800
    19911001    165145390        93205        5422.8       331900
    19911002    166124970        93098        5500.0       244400
    19911003    173925700        94145        5678.3       460200
    19911004    163564350        92148        5233.0       533500
    19911007    148175030        88057        4867.7       351800
    19911008    176533302       101654        5917.0       574800
    19911009    186277650       103892        6148.9       410800
    19911010    163836430        96766        5576.5       361500
    19911011    148523530        84629        4753.2       308200
    19911014    129911880        82973        4254.7       214400
    19911015    213619330       120801        7227.1       345800
    19911016    224998070       121932        7590.0       399800
    19911017    205684600       115762        7147.1       333300
    19911018    205062374       112044        7264.7       189900
    19911021    153842170        96693        5013.0       268300
    19911022    194062240       117491        6707.1       322800
    19911023    187031020       104247        6285.1       318900
    19911024    178626190       108076        5991.0       250600
    19911025    166684110        94899        5529.8       159300
    19911028    160887030       100820        5426.4       126000
    19911029    191915890       124255        6609.7       346200
    19911030    199331099       116018        6722.3       412600
    19911031    180908970       105395        5835.7       548400
    19911101    204837019       126109        6907.9       390000
    19911104    154326390        97191        4781.5       201700
    19911105    170604300       104193        5429.8       170500
    19911106    165689210       103474        5438.5       189700
    19911107    204651700       112790        6742.2       645900
    19911108    181510240       105539        6053.2       352600
    19911111    128564220        87315        4151.7       159800
    19911112    197702120       122355        6849.8       569500
    19911113    184094472       118687        6273.0       379800
    19911114    199710210       118086        6794.2       330900
    19911115    238954560       140820        8491.1       345200
    19911118    240683990       166567        8736.0       254900
    19911119    241058070       156971        8424.3       357100
    19911120    195895380       117093        6865.2       255600
    19911121    195931395       120182        6323.1       233300
    19911122    187837040       114789        6244.7       276000
    19911125    175647650       105723        5746.0       111200
    19911126    213509960       130516        7541.5       264000
    19911127    167141872        88301        5378.0       547500
    19911129     78471842        52160        2422.5       150200
    19911202    188077380       119087        6183.5       370900
    19911203    186778050       111844        6053.7       303100
    19911204    187557580       113900        6331.8       371100
    19911205    165468230       108946        5337.5       442600
    19911206    197082940       123002        6752.3       688900
    19911209    174137220       109575        5651.3       215300
    19911210    191915784       115943        6159.2       492500
    19911211    206800780       117070        6514.7       510800
    19911212    192417070       115425        6167.2       543600
    19911213    200903700       116422        6499.0       550300
    19911216    175244149       108602        5564.6       286200
    19911217    191459560       107786        5890.8       261100
    19911218    194171550       112177        6042.9       279400
    19911219    198602570       112896        6149.8       731200
    19911220    317362120       176895       11416.6      1054100
    19911223    228485990       140338        7554.2       692200
    19911224    162110080       110403        5571.9       196000
    19911226    148874370        98584        4840.1       357400
    19911227    155916310       112254        5195.8       344100
    19911230    244530790       172763        8297.9      1053400
    19911231    247661410       196244        8726.6       878200
    19920102    207125703       149416        7679.9       440000
    19920103    223900610       155632        8088.6       363300
    19920106    250284886       166946        8826.2       913800
    19920107    252208376       156608        8695.4       554400
    19920108    290264150       178349       10198.5       462900
    19920109    291936340       181486       10098.3       411600
    19920110    235810400       150227        8071.9       315100
    19920113    199085230       136084        6708.4      1271400
    19920114    264426507       151972        8980.1      1440400
    19920115    311435530       183912       10970.0      1338700
    19920116    335182850       193117       12640.9       902700
    19920117    286077710       162890       10812.4       952400
    19920120    180192640       131619        6284.7       429500
    19920121    218174750       139452        8012.3       453800
    19920122    227491700       134138        8065.9       433300
    19920123    233963069       141212        8028.0       463100
    19920124    213558090       129424        7270.3       294900
    19920127    190312960       117595        6318.9       425400
    19920128    216271940       132589        7648.6       627200
    19920129    248350030       159631        9059.0       377300
    19920130    194527200       135615        6982.3       436800
    19920131    197193670       143372        7116.6       214100
    19920203    184272470       130707        6593.7       194900
    19920204    233227060       140402        7972.9       192500
    19920205    261715318       153745        8996.5       302800
    19920206    241436540       142851        8090.6       418400
    19920207    230554620       156267        8116.6       320100
    19920210    187482810       123219        6337.3       536800
    19920211    199355060       127008        6933.5       791400
    19920212    237127610       134628        8274.9       496300
    19920213    229794804       139749        8087.2      1115100
    19920214    220388580       123380        7566.1       644300
    19920218    234125180       155300        8226.8       735000
    19920219    234123190       137410        8422.2       658500
    19920220    270000470       156953        9676.8       628400
    19920221    261023911       163945        9552.0       615800
    19920224    181041260       118546        6303.3       285400
    19920225    210062792       135136        7338.4       268200
    19920226    241059229       135895        8677.6       423200
    19920227    214784190       134504        7332.1       334600
    19920228    220747550       134100        7805.8       356400
    19920302    180351880       122518        6464.5       320800
    19920303    206138734       125448        7327.0       574000
    19920304    208647680       130544        7613.3       262500
    19920305    208666790       129174        7336.2       261000
    19920306    192005608       115492        6814.3       332500
    19920309    160474920       111387        5514.1       337600
    19920310    202747200       120529        7226.7       252600
    19920311    186117100       122729        6528.0       259700
    19920312    179940740       107637        6331.5       369700
    19920313    177744010       107069        6156.7       159100
    19920316    155518530        99031        5314.9       428900
    19920317    188440456       117186        6456.9       345400
    19920318    193920280       119898        6716.2       204200
    19920319    197082920       114367        6662.1       223100
    19920320    246581630       150062        9268.5       300300
    19920323    156325759       109904        5428.0       186700
    19920324    191385120       120572        6762.2       432500
    19920325    192227980       111147        6638.5       229100
    19920326    176158900       101230        5892.3       252400
    19920327    165637920       104901        5668.6       208600
    19920330    133470720        93654        4545.1       271200
    19920331    181963265       110539        6194.5       229700
    19920401    184819530       115156        6389.9       202800
    19920402    184588270       115594        6349.5       173400
    19920403    201147978       108366        7214.8       267700
    19920406    179163160       106958        6378.8       307700
    19920407    204107390       126197        7096.9       365000
    19920408    249099500       152211        8990.4       170200
    19920409    231937920       135856        8218.7       317900
    19920410    199121090       120130        7105.8       405300
    19920413    142923410        93702        4971.1       220800
    19920414    230450890       135896        8484.0       678100
    19920415    229477310       137719        8507.4       236600
    19920416    232940480       132891        8983.6       288200
    19920420    191731360       122096        7134.8       311500
    19920421    214093140       126961        7615.2       357800
    19920422    218536410       120879        7718.2       342900
    19920423    237655780       132720        8717.2       238900
    19920424    199091970       116775        6996.7       220100
    19920427    172104340       105632        6040.9       791400
    19920428    187947050       110313        6723.5      1261600
    19920429    205569200       113276        7210.7      1212600
    19920430    223035670       121784        8120.4       549500
    19920501    177121630       110668        6420.4       246900
    19920504    174161290       112734        6260.9       372100
    19920505    200082020       122205        7058.2       463500
    19920506    198805030       122023        7000.3      1137600
    19920507    168112240       110576        5829.5       868700
    19920508    167406020       104420        5805.9      1322500
    19920511    157159760       103857        5523.0       444700
    19920512    192492540       124724        6902.2       368000
    19920513    175400725       106225        6239.9       444300
    19920514    200038973       113827        7164.2       384100
    19920515    208558753       117001        8018.2       271300
    19920518    151155640        99608        6349.8       215800
    19920519    188957060       117465        6748.1       439200
    19920520    198167800       117682        6911.0       579400
    19920521    184467850       116388        6042.7       390200
    19920522    146438730        86715        4917.5       267300
    19920526    197130260       119833        7027.1       574100
    19920527    181970505       103319        6269.1       270700
    19920528    195073610       108897        6706.7       221400
    19920529    203689610       123130        7093.1       313100
    19920601    190153890       121664        6626.9       459800
    19920602    202612705       121757        7344.1       459100
    19920603    215407460       119474        7268.7       345400
    19920604    204080310       114778        7022.5       375800
    19920605    200908415       110778        6768.4       444600
    19920608    161039290        99634        5316.7       203300
    19920609    190527290       106782        6379.4       642500
    19920610    210551640       104713        7221.7       201200
    19920611    204372530       107314        7069.0       402700
    19920612    181569860       100826        6127.4       284300
