        DATE            STOCK
        VOLUME

        19820122         44397430
        19820125         43174510
        19820126         44868770
        19820127         50059835
        19820128         66689110
        19820129         73401430
        19820201         47732400
        19820202         45015860
        19820203         49562470
        19820204         53307860
        19820205         53345290
        19820208         48504580
        19820209         54423770
        19820210         46609270
        19820211         46625920
        19820212         37085095
        19820216         48883100
        19820217         47655840
        19820218         60806781
        19820219         51345920
        19820222         58314430
        19820223         60201790
        19820224         64800090
        19820225         54158620
        19820226         43838730
        19820301         53012630
        19820302         63806860
        19820303         70268690
        19820304         74342440
        19820305         67440830
        19820308         67333100
        19820309         76063160
        19820310         59444350
        19820311         52957910
        19820312         49598500
        19820315         43371250
        19820316         50237790
        19820317         48899050
        19820318         54275720
        19820319         46243410
        19820322         57610920
        19820323         67120160
        19820324         49380550
        19820325         51968020
        19820326         42404830
        19820329         37079250
        19820330         43993340
        19820331         43374380
        19820401         57108630
        19820402         59866840
        19820405         46903920
        19820406         43204640
        19820407         53140380
        19820408         60187110
        19820412         46519580
        19820413         48661850
        19820414         45153070
        19820415         45697870
        19820416         55897110
        19820419         58469190
        19820420         54602023
        19820421         57818150
        19820422         64469200
        19820423         71855870
        19820426         60502350
        19820427         56483560
        19820428         50526940
        19820429         51335270
        19820430         48034630
        19820503         46487390
        19820504         58725720
        19820505         58861040
        19820506         67542220
        19820507         67183830
        19820510         46308790
        19820511         54676309
        19820512         59211640
        19820513         58225500
        19820514         49906770
        19820517         45579480
        19820518         48967950
        19820519         48871540
        19820520         48331950
        19820521         45268382
        19820524         38515900
        19820525         44012660
        19820526         51251910
        19820527         44735300
        19820528         43897890
        19820601         41653510
        19820602         49223010
        19820603         48452140
        19820604         44111970
        19820607         44634410
        19820608         46827990
        19820609         55778140
        19820610         50936750
        19820611         68617190
        19820614         40108310
        19820615         44974720
        19820616         56287090
        19820617         49233090
        19820618         53802410
        19820621         50363300
        19820622         55290041
        19820623         62706331
        19820624         55863160
        19820625         38740780
        19820628         40702510
        19820629         47006610
        19820630         65275340
        19820701         47899627
        19820702         43765440
        19820706         44350530
        19820707         46916640
        19820708         63271360
        19820709         65872080
        19820712         74700580
        19820713         66169280
        19820714         58039890
        19820715         61081890
        19820716         58770590
        19820719         53032870
        19820720         61056480
        19820721         66770930
        19820722         53868117
        19820723         47289020
        19820726         37736900
        19820727         45735530
        19820728         53847460
        19820729         55679460
        19820730         39270090
        19820802         53481030
        19820803         60480773
        19820804         53444370
        19820805         54699250
        19820806         48655750
        19820809         54562710
        19820810         52655050
        19820811         49043700
        19820812         50045090
        19820813         44721120
        19820816         55422220
        19820817         92864700
        19820818        132681120
        19820819         78269940
        19820820         95889840
        19820823        110305550
        19820824        121655704
        19820825        106197110
        19820826        137280490
        19820827         74391700
        19820830         59561440
        19820831         86364290
        19820901         82830740
        19820902         74739920
        19820903        130909722
        19820907         68960540
        19820908         77953880
        19820909         73089630
        19820910         71070670
        19820913         59515860
        19820914         83069260
        19820915         69672650
        19820916         78899940
        19820917         63949520
        19820920         58520180
        19820921         82892950
        19820922        113090850
        19820923         68241220
        19820924         54597750
        19820927         44839050
        19820928         65904150
        19820929         62549770
        19820930         62612130
        19821001         65003980
        19821004         55653260
        19821005         69772330
        19821006         93575190
        19821007        147081070
        19821008        122263795
        19821011        138533450
        19821012        126307520
        19821013        139805711
        19821014        107506700
        19821015         80293280
        19821018         83793200
        19821019        100852980
        19821020         98680950
        19821021        122466100
        19821022        101135180
        19821025         83727940
        19821026        102078540
        19821027         81661212
        19821028         73592540
        19821029         74879780
        19821101         73525670
        19821102        104777210
        19821103        137013107
        19821104        149385480
        19821105         96556090
        19821108         75228520
        19821109        111238000
        19821110        113240760
        19821111         78395140
        19821112         95087580
        19821115         78896020
        19821116        102919620
        19821117         84442280
        19821118         77625670
        19821119         70305670
        19821122         74969690
        19821123         72924210
        19821124         67155080
        19821126         38814140
        19821129         61075420
        19821130         93471620
        19821201        107848680
        19821202         77600300
        19821203         71577480
        19821206         83890110
        19821207        111625530
        19821208         97438290
        19821209         90319400
        19821210         86433100
        19821213         63138390
        19821214         98385101
        19821215         81054280
        19821216         73690270
        19821217         76015190
        19821220         62207360
        19821221         78016640
        19821222         83469210
        19821223         62889220
        19821227         64690050
        19821228         58603640
        19821229         54813360
        19821230         56378440
        19821231         42111540
        19830103         59077210
        19830104         75535350
        19830105         95403560
        19830106        129411380
        19830107        127312940
        19830110        101894370
        19830111         98245840
        19830112        109851980
        19830113         77031620
        19830114         86484810
        19830117         89210140
        19830118         78380840
        19830119         80897800
        19830120         82830340
        19830121         77119070
        19830124         90805740
        19830125         79741110
        19830126         73724820
        19830127         88124600
        19830128         89499880
        19830131         67145420
        19830201         82762300
        19830202         77215770
        19830203         78890596
        19830204         86994300
        19830207         86034760
        19830208         76583350
        19830209         84534980
        19830210         93503430
        19830211         86701393
        19830214         72643550
        19830215         89043190
        19830216         82102700
        19830217         74927370
        19830218         77422240
        19830222         84076090
        19830223         84106780
        19830224        113232810
        19830225        100977920
        19830228         83746030
        19830301        103762840
        19830302        112611870
        19830303        114448960
        19830304         90927590
        19830307         84022070
        19830308         79401600
        19830309         84249900
        19830310         95412410
        19830311         67283690
        19830314         61897120
        19830315         62490570
        19830316         83512590
        19830317         70286800
        19830318         75112200
        19830321         72164980
        19830322         79610110
        19830323         94968590
        19830324         92346290
        19830325         77326440
        19830328         58505450
        19830329         65313680
        19830330         75813180
        19830331        100569270
        19830404         66013520
        19830405         76808310
        19830406         77148520
        19830407         69473150
        19830408         67700860
        19830411         81440250
        19830412         79906630
        19830413        100523130
        19830414         90159910
        19830415         89597170
        19830418         88521520
        19830419         90846930
        19830420        110240570
        19830421        106149990
        19830422         92271920
        19830425         90156730
        19830426         97264630
        19830427        118144650
        19830428         94415520
        19830429        105750201
        19830502         88173470
        19830503         89539870
        19830504        101694440
        19830505        107862739
        19830506        128215190
        19830509         93668920
        19830510        104051960
        19830511         99820330
        19830512         84060970
        19830513         83115700
        19830516         76354230
        19830517         79509300
        19830518         99778140
        19830519         83265520
        19830520         73154870
        19830523         84974200
        19830524        109862870
        19830525        121058390
        19830526         94980060
        19830527         76289330
        19830531         73908850
        19830601         84463260
        19830602         89753910
        19830603         83110910
        19830606         87675910
        19830607         88550720
        19830608         96604360
        19830609         87440450
        19830610         78474910
        19830613         90707730
        19830614         97709540
        19830615         93416493
        19830616        124456270
        19830617         93653110
        19830620         84233940
        19830621        102884380
        19830622        110366770
        19830623         89616920
        19830624         80928610
        19830627         69376330
        19830628         82728450
        19830629         81564840
        19830630         76313860
        19830701         65112560
        19830705         67327200
        19830706         85671900
        19830707         97141660
        19830708         66520520
        19830711         61610050
        19830712         70216790
        19830713         68899740
        19830714         83496760
        19830715         63115050
        19830718         69115730
        19830719         74033943
        19830720        109332390
        19830721        101814620
        19830722         68852470
        19830725         73713090
        19830726         91291950
        19830727         99297600
        19830728         78421120
        19830729         95243680
        19830801         77207030
        19830802         74462300
        19830803         80375400
        19830804        100969900
        19830805         67845810
        19830808         71464300
        19830809         81415135
        19830810         82906670
        19830811         70629921
        19830812         71589750
        19830815         83202210
        19830816         71782040
        19830817         87800960
        19830818         82281440
        19830819         58952710
        19830822         76418300
        19830823         66816360
        19830824         72204280
        19830825         70143690
        19830826         61642930
        19830829         53032991
        19830830         62366400
        19830831         80877250
        19830901         76123050
        19830902         59299730
        19830906         87495970
        19830907         94238490
        19830908         79260810
        19830909         77983740
        19830912        114058400
        19830913         73966270
        19830914         73421960
        19830915         70422720
        19830916         75521700
        19830919         85626350
        19830920        103062930
        19830921         91277200
        19830922         97059530
        19830923         93214200
        19830926         86398930
        19830927         81299390
        19830928         75891280
        19830929         73732197
        19830930         70821103
        19831003         77227720
        19831004         90265800
        19831005        101712400
        19831006        118283680
        19831007        103629560
        19831010         67046890
        19831011         79508060
        19831012         75630730
        19831013         67747780
        19831014         71590880
        19831017         77739460
        19831018         91098090
        19831019        107789420
        19831020         86002660
        19831021         91645010
        19831024         85423610
        19831025         82526200
        19831026         79567640
        19831027         79565120
        19831028         81176810
        19831031         79159520
        19831101         84467740
        19831102         95212189
        19831103         85279807
        19831104         72075520
        19831107         69400716
        19831108         64916190
        19831109         83095640
        19831110         88735331
        19831111         74221010
        19831114         86881320
        19831115         77837690
        19831116         83377530
        19831117         80739460
        19831118         88288690
        19831121         97736615
        19831122        117553800
        19831123        108083290
        19831125         57817900
        19831128         78225340
        19831129        100461890
        19831130        120097510
        19831201        106986870
        19831202         93964640
        19831205         88330690
        19831206         89706970
        19831207        105670550
        19831208         96533100
        19831209         98279670
        19831212         77338170
        19831213         93475590
        19831214         85422307
        19831215         88295300
        19831216         81034700
        19831219         75179670
        19831220         83743990
        19831221        108086720
        19831222        106223790
        19831223         62715860
        19831227         63799480
        19831228         85659940
        19831229         86557160
        19831230         71846350
        19840103         71348880
        19840104        112986680
        19840105        159999031
        19840106        137594121
        19840109        107133060
        19840110        109571500
        19840111         98655190
        19840112         99433270
        19840113        101803280
        19840116         93793900
        19840117         92771430
        19840118        109017830
        19840119         98343320
        19840120         93376050
        19840123         82020820
        19840124        103046580
        19840125        113441410
        19840126        111166900
        19840127        103693000
        19840130        103115610
        19840131        113562990
        19840201        107106779
        19840202        111436560
        19840203        109102150
        19840206        109097970
        19840207        107643020
        19840208         96913770
        19840209        128111140
        19840210         92222560
        19840213         78374700
        19840214         91802870
        19840215         94868852
        19840216         81757945
        19840217         76600300
        19840221         71890670
        19840222         90081730
        19840223        100224120
        19840224        102617610
        19840227         99130160
        19840228         91014310
        19840229         92822140
        19840301         82210160
        19840302        108267520
        19840305         69850810
        19840306         83627170
        19840307         90077050
        19840308         80629250
        19840309         73172210
        19840312         84469180
        19840313        102652800
        19840314         77245380
        19840315         79530140
        19840316        117998540
        19840319         64068920
        19840320         86477580
        19840321         87189300
        19840322         87313630
        19840323         79766160
        19840326         69069080
        19840327         73672720
        19840328        104881560
        19840329         81466550
        19840330         71589270
        19840402         85660890
        19840403         87981740
        19840404         92857830
        19840405        101767220
        19840406         86658600
        19840409         71581560
        19840410         78987680
        19840411         80282300
        19840412         96333150
        19840413         99714630
        19840416         73887920
        19840417         98149508
        19840418         85040019
        19840419         75655900
        19840423         73083790
        19840424         87069720
        19840425         83517230
        19840426         97989620
        19840427         88524790
        19840430         72735343
        19840501        110550150
        19840502        107096540
        19840503         91936180
        19840504         98588460
        19840507         72765760
        19840508         81615310
        19840509        100587360
        19840510        101813300
        19840511         82784030
        19840514         64898425
        19840515         88330710
        19840516         89243775
        19840517         90305730
        19840518         81273740
        19840521         73379080
        19840522         88028410
        19840523         82694390
        19840524         99044881
        19840525         78190600
        19840529         69058450
        19840530        105659080
        19840531         81894940
        19840601         96035500
        19840604         96696950
        19840605         84836850
        19840606         83447870
        19840607         82120750
        19840608         67845150
        19840611         69054720
        19840612         84661620
        19840613         67495090
        19840614         79121940
        19840615         85459820
        19840618         94897950
        19840619         89000010
        19840620         99204200
        19840621        123380980
        19840622         98404230
        19840625         72830740
        19840626         82541740
        19840627         78845400
        19840628         77664130
        19840629         90778470
        19840702         69231950
        19840703         69965260
        19840705         66106290
        19840706          6881600
        19840709         74857760
        19840710         74002600
        19840711         89543620
        19840712         86045530
        19840713         75488620
        19840716         73406650
        19840717         82890430
        19840718         76639450
        19840719         85238460
        19840720         79092320
        19840723         77995080
        19840724         74379340
        19840725         90519420
        19840726         90404641
        19840727        101355630
        19840730         72328240
        19840731         86911260
        19840801        127514400
        19840802        172843750
        19840803        236565110
        19840806        203046720
        19840807        128094210
        19840808        121254590
        19840809        131175450
        19840810        171037744
        19840813         77961370
        19840814         81470330
        19840815         91885250
        19840816         93608050
        19840817         71504740
        19840820         75436730
        19840821        128137600
        19840822        116040230
        19840823         83133190
        19840824         69641230
        19840827         57661880
        19840828         70542940
        19840829         90662460
        19840830         70838669
        19840831         57467360
        19840904         62118970
        19840905         69251480
        19840906         91925480
        19840907         84103230
        19840910         74408510
        19840911        101359190
        19840912         77988130
        19840913        110580610
        19840914        137436370
        19840917         88778360
        19840918        107760310
        19840919        119977500
        19840920         92048780
        19840921        120652040
        19840924         76381540
        19840925         86252040
        19840926        100198060
        19840927         88874690
        19840928         78956340
        19841001         73632830
        19841002         89356300
        19841003         92407950
        19841004         76699300
        19841005         82952900
        19841008         46363960
        19841009         75380530
        19841010         94257960
        19841011         87024110
        19841012         92187970
        19841015         87607510
        19841016         82931050
        19841017         99735270
        19841018        149580860
        19841019        186901040
        19841022         81015770
        19841023         91917750
        19841024         91620310
        19841025         92766270
        19841026         83909460
        19841029         63201900
        19841030         95199050
        19841031         91889610
        19841101        107364380
        19841102         96830540
        19841105         84734840
        19841106        101289240
        19841107        110803280
        19841108         88598408
        19841109         83629402
        19841112         55612690
        19841113         69788080
        19841114         73939040
        19841115         81526940
        19841116         83156240
        19841119         69730840
        19841120         83246120
