gvkeyx,bkvlps,cshtrm,dvpsxm,dvrate,epsx12,prccm,prchm,prclm,datadate,conm,indextype,tic,spii,spmi,indexcat
000005,,,8.6800,102.0000,71.6000,3393.7798,3414.8499,3255.4500,31JUL1992,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW
000005,,,8.6800,102.0000,71.6000,3257.3499,3413.2300,3200.8799,31AUG1992,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW
000005,,,8.6800,104.1600,84.3500,3271.6599,3391.3499,3226.5498,30SEP1992,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW
000005,,,8.7100,104.1600,84.3500,3226.2798,3291.3899,3087.4099,31OCT1992,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW
000005,,,8.7100,104.1600,84.3500,3305.1599,3326.5098,3176.8398,30NOV1992,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW
000005,1146.0000,,8.7100,104.5200,108.2500,3301.1099,3364.8699,3229.7898,31DEC1992,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW
000005,,,8.2100,104.5200,108.2500,3310.0298,3338.1199,3219.2500,31JAN1993,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW
000005,,,8.2100,104.5200,108.2500,3370.8098,3472.9399,3262.4800,28FEB1993,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW
000005,,,8.2100,98.5200,113.4300,3435.1099,3497.2500,3334.0698,31MAR1993,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW
000005,,,8.3500,98.5200,113.4300,3427.5498,3499.4099,3338.3899,30APR1993,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW
000005,,,8.3500,98.5200,113.4300,3527.4299,3582.2300,3402.4199,31MAY1993,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW
000005,,,8.3500,100.2000,84.6500,3516.0798,3577.2500,3445.7698,30JUN1993,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW
000005,,,8.2700,100.2000,84.6500,3539.4700,3604.8599,3443.2798,31JUL1993,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW
000005,,,8.2700,100.2000,84.6500,3651.2500,3681.7100,3523.5398,31AUG1993,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW
000005,,,8.2700,99.2400,104.5200,3555.1199,3665.5000,3501.4700,30SEP1993,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW
000005,,,8.3900,99.2400,104.5200,3680.5898,3713.5698,3541.7100,31OCT1993,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW
000005,,,8.3900,99.2400,104.5200,3683.9500,3749.8999,3585.8599,30NOV1993,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW
000005,1118.0000,,8.3900,100.6800,146.8400,3754.0898,3818.9199,3673.3298,31DEC1993,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW
000005,,,8.5600,100.6800,146.8400,3978.3599,4002.8398,3715.2400,31JAN1994,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW
000005,,,8.5600,100.6800,146.8400,3832.0198,3998.0598,3811.7598,28FEB1994,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW
