year,month,avg_clstr,nodes,edges
1995,8,0.01725546711517003,1548,2772
1995,9,0.01725546711517003,1548,2772
1995,10,0.01725546711517003,1548,2772
1995,11,0.017288972876558707,1545,2772
1995,12,0.017288972876558707,1545,2772
1996,1,0.010487095176517294,1617,3040
1996,2,0.010097029247680068,1624,3067
1996,3,0.010342595382551686,1641,3109
1996,4,0.010277102786672085,1657,3151
1996,5,0.010277102786672085,1657,3151
1996,6,0.010277102786672085,1657,3151
1996,7,0.010277102786672085,1657,3151
1996,8,0.010286123986822254,1656,3150
1996,9,0.010286123986822254,1656,3150
1996,10,0.010286123986822254,1656,3150
1996,11,0.010296001165098646,1655,3149
1996,12,0.010307111690640304,1654,3148
1997,1,0.010388013188157897,1771,3426
1997,2,0.010329091850051769,1781,3450
1997,3,0.009824119206937654,1803,3512
1997,4,0.010005766153898235,1816,3560
1997,5,0.010005766153898235,1816,3560
1997,6,0.009994758710384596,1818,3560
1997,7,0.009994758710384596,1818,3560
1997,8,0.009994758710384596,1818,3560
1997,9,0.01000785525813461,1818,3559
1997,10,0.01000785525813461,1818,3559
1997,11,0.01000785525813461,1818,3559
1997,12,0.01000785525813461,1818,3559
1998,1,0.010525591116955954,1982,3979
1998,2,0.010771517257412674,2002,4044
1998,3,0.01089367647987943,2024,4107
1998,4,0.011218009574500346,2040,4165
1998,5,0.011212513244478544,2041,4165
1998,6,0.011212513244478544,2041,4165
1998,7,0.011218009574500346,2040,4165
1998,8,0.011218009574500346,2040,4165
1998,9,0.0112187278105127,2040,4164
1998,10,0.011228630761592123,2040,4163
1998,11,0.011228630761592123,2040,4163
1998,12,0.011228630761592123,2040,4163
1999,1,0.010293125564479805,2036,4188
1999,2,0.010312027029733302,2040,4200
1999,3,0.010288442578531922,2044,4210
1999,4,0.01027771781754599,2045,4213
1999,5,0.01027771781754599,2045,4213
1999,6,0.010282746055225807,2044,4212
1999,7,0.010282746055225807,2044,4212
1999,8,0.01027771781754599,2045,4212
1999,9,0.01027771781754599,2045,4212
1999,10,0.01027771781754599,2045,4212
1999,11,0.01027771781754599,2045,4212
1999,12,0.010277733471729425,2045,4211
2000,1,0.007490819806111025,1931,3819
2000,2,0.007484321657448544,1932,3821
2000,3,0.0073768399858266595,1934,3829
2000,4,0.007871326776438337,1938,3837
2000,5,0.00787278321639972,1938,3834
2000,6,0.007876847637265183,1937,3833
2000,7,0.007881531172300173,1936,3832
2000,8,0.007886926755623802,1935,3829
2000,9,0.007889797843766208,1935,3826
2000,10,0.007926418916962554,1934,3822
2000,11,0.007929484508356009,1934,3820
2000,12,0.00793033354461495,1934,3819
2001,1,0.007741787880734424,1999,3857
2001,2,0.007723164063954012,2003,3863
2001,3,0.007605972358736144,2006,3870
2001,4,0.007595620338043932,2007,3872
2001,5,0.007595620338043932,2007,3872
2001,6,0.007595620338043932,2007,3871
2001,7,0.007595620338043932,2007,3871
2001,8,0.007599406788860504,2006,3871
2001,9,0.007599406788860504,2006,3871
2001,10,0.007603310692609522,2005,3870
2001,11,0.007603310692609522,2005,3870
2001,12,0.007603310692609522,2005,3870
2002,1,0.00933112352227075,2050,3873
2002,2,0.00929475969649115,2051,3879
2002,3,0.009276221607916758,2054,3886
2002,4,0.009443844335389065,2054,3887
2002,5,0.00944844435698448,2053,3886
2002,6,0.009443763015209142,2052,3883
2002,7,0.009448687723870834,2051,3882
2002,8,0.009445731835296447,2050,3880
2002,9,0.009445731835296447,2050,3880
2002,10,0.009451644621697038,2050,3879
2002,11,0.009517265004017058,2050,3878
2002,12,0.009519945250599744,2050,3877
2003,1,0.008316075391052676,1959,3484
2003,2,0.008371332527335679,1960,3486
2003,3,0.008425518984564841,1960,3489
2003,4,0.00841662026880039,1962,3494
2003,5,0.00841662026880039,1962,3494
2003,6,0.00841662026880039,1962,3493
2003,7,0.00841662026880039,1962,3493
2003,8,0.00841662026880039,1962,3493
2003,9,0.00841662026880039,1962,3493
2003,10,0.00842412144574368,1961,3492
2003,11,0.00842412144574368,1961,3492
2003,12,0.00842412144574368,1961,3492
