sdate,nyse_volume,nyse_trades,nyse_dv,nyse_warrants_volume
19901005,153391860.00,75102.00,4761.20,1216200
19901008,99459050.00,48393.00,2935.00,626000
19901009,145590460.00,65349.00,4501.50,839800
19901010,167867260.00,82355.00,5335.00,1119500
19901011,180058770.00,82728.00,5558.90,2955900
19901012,187944370.00,83310.00,5629.20,1236900
19901015,164981310.00,84112.00,5141.60,1191000
19901016,149579530.00,72354.00,4268.60,941500
19901017,161258600.00,70971.00,4562.60,1211700
19901018,204112900.00,79402.00,6236.20,1398200
19901019,221715890.00,79844.00,7466.80,1981100
19901022,152678930.00,74498.00,4840.20,1216100
19901023,146287440.00,73238.00,4430.10,1021200
19901024,149293390.00,66861.00,4311.70,752600
19901025,141461600.00,63449.00,4178.90,553000
19901026,130195440.00,58679.00,3466.00,883200
19901029,133975280.00,69042.00,3878.40,870600
19901030,153447260.00,74489.00,4339.50,649200
19901031,156061280.00,64937.00,4348.90,925400
19901101,159287670.00,73097.00,4681.80,1433800
19901102,168691370.00,68379.00,4954.20,1577900
19901105,147507660.00,70806.00,4357.30,1833500
19901106,141131718.00,66350.00,3981.30,1433400
19901107,149143240.00,67990.00,4468.10,916700
19901108,155570400.00,72631.00,4658.90,1237100
19901109,145162670.00,73078.00,4381.70,1488400
19901112,161402880.00,69599.00,4949.30,2114700
19901113,160206990.00,72888.00,4796.50,1612000
19901114,179318990.00,79882.00,5323.20,1487500
19901115,151383580.00,67536.00,4544.10,962700
19901116,165413090.00,68617.00,5218.60,838900
19901119,140952750.00,69165.00,4400.00,833300
19901120,161233460.00,67151.00,4682.70,861800
19901121,140656430.00,65628.00,4154.00,1401800
19901123,63351720.00,33528.00,1872.40,459400
19901126,131240920.00,68237.00,4112.20,1121600
19901127,147590930.00,71799.00,4554.20,1282900
19901128,145485680.00,66303.00,4314.70,900400
19901129,141037340.00,67509.00,4199.00,655200
19901130,192349070.00,91658.00,5933.60,1934000
19901203,177019540.00,74469.00,5658.10,639100
19901204,185822940.00,80647.00,5594.10,719600
19901205,205824540.00,82682.00,6146.10,2885800
19901206,256382090.00,96225.00,8579.50,2149800
19901207,164932480.00,78892.00,5228.00,1359500
19901210,138651560.00,73637.00,4123.80,899500
19901211,145328390.00,71386.00,4200.90,1041400
19901212,182479130.00,86744.00,5726.70,1083000
19901213,162108740.00,82464.00,4908.20,886300
19901214,150870320.00,79993.00,4715.70,841400
19901217,118630320.00,75785.00,3289.90,1141000
19901218,174910280.00,88612.00,5251.80,1571700
19901219,179115670.00,86910.00,5389.00,1281500
19901220,173899430.00,90127.00,8064.10,847100
19901221,232633130.00,106393.00,7443.90,824300
19901224,56852810.00,37941.00,1535.90,351700
19901226,78120540.00,50481.00,2156.80,627600
19901227,102160550.00,64138.00,2802.00,732200
19901228,110231350.00,68643.00,2765.70,1058000
19901231,113362560.00,80451.00,2561.30,843800
19910102,125675790.00,72738.00,3989.30,604000
19910103,140784460.00,71229.00,4511.40,679100
19910104,140075020.00,75403.00,4559.70,706700
19910107,129282720.00,72764.00,3943.60,1348200
19910108,142616020.00,78821.00,4560.10,776000
19910109,189610370.00,106359.00,6022.50,1532400
19910110,123895530.00,66825.00,3666.00,605400
19910111,122136190.00,59483.00,3486.30,976700
19910114,119782770.00,77135.00,3642.30,1044200
19910115,109095140.00,64279.00,3110.80,902500
19910116,133422470.00,70805.00,4149.90,1033200
19910117,315889630.00,158626.00,10376.50,2991000
19910118,227967010.00,130325.00,8140.90,1153600
19910121,135289740.00,87291.00,4491.90,1039700
19910122,174673890.00,92580.00,5470.70,906800
19910123,168335871.00,90487.00,5364.00,1097500
19910124,221668270.00,114355.00,6867.90,1519300
19910125,193410660.00,94311.00,6125.80,962900
19910128,139970570.00,82396.00,4541.60,1291000
19910129,154785360.00,84106.00,4956.30,986300
19910130,225018530.00,108477.00,7297.60,1806700
19910131,203006320.00,104892.00,6489.30,1293200
19910201,244143240.00,128718.00,7701.10,2526900
19910204,248926130.00,128886.00,7330.10,1832400
19910205,288306190.00,150855.00,8712.60,2273200
19910206,275147650.00,152421.00,8954.80,2482800
19910207,289247580.00,171748.00,9714.20,3021400
19910208,186356240.00,116748.00,5971.90,1489200
19910211,263980550.00,156996.00,8528.80,1438600
19910212,255119280.00,172040.00,8874.80,1033900
19910213,208994070.00,138364.00,7073.10,995300
19910214,229299780.00,147773.00,7811.50,1441200
19910215,226407190.00,128354.00,8516.00,676400
19910219,189064210.00,125761.00,6568.30,840100
19910220,185144900.00,109906.00,6367.50,524900
19910221,179624090.00,108072.00,6009.00,1144600
19910222,216923410.00,134334.00,7653.30,1838100
19910225,192380630.00,125477.00,6615.40,1392400
19910226,162818540.00,105984.00,5554.50,1400500
19910227,210011530.00,117880.00,6963.60,1403500
19910228,221026910.00,131333.00,7195.40,2001600
19910301,218530750.00,126694.00,6909.40,2986800
19910304,198576130.00,130226.00,5877.10,1261300
19910305,249868410.00,144020.00,8101.00,3790700
19910306,260319280.00,167213.00,8707.20,1959900
19910307,195432980.00,117991.00,6238.10,1653600
19910308,205286340.00,130095.00,6714.60,1599100
19910311,160431940.00,102150.00,4987.00,1103800
19910312,175277730.00,108185.00,5579.00,1191700
19910313,174501430.00,107296.00,5761.30,1422300
19910314,229818820.00,128133.00,7824.60,1177300
19910315,238229510.00,132092.00,8883.40,743700
19910318,162427700.00,101390.00,5699.40,666900
19910319,175877670.00,108641.00,6491.70,1162300
19910320,195038450.00,114707.00,6711.50,1565500
19910321,198546970.00,119338.00,6692.60,1269200
19910322,160251260.00,94300.00,5586.50,555500
19910325,152826320.00,99104.00,5055.00,1103300
19910326,197630050.00,115013.00,6672.80,1105800
19910327,201083900.00,124507.00,6958.10,730600
19910328,150179350.00,99686.00,4824.90,583500
19910401,143526160.00,102453.00,4743.30,448800
19910402,189187150.00,113586.00,6212.70,353500
19910403,213042590.00,130157.00,7205.30,692100
19910404,197636990.00,120676.00,6465.40,465400
19910405,186876470.00,130881.00,6209.80,524700
19910408,138287980.00,93018.00,4397.90,313600
19910409,169542720.00,111121.00,5546.70,376600
19910410,174588810.00,97573.00,5470.80,405600
19910411,196036961.00,112025.00,6488.10,410000
19910412,197987750.00,114307.00,6457.50,583900
19910415,160779820.00,108654.00,5459.90,943400
19910416,214017950.00,128938.00,7199.50,539000
19910417,246434960.00,143867.00,8618.80,496300
19910418,216889200.00,126521.00,7173.90,426455
19910419,195676210.00,107675.00,7133.30,818000
19910422,163564350.00,111649.00,5755.30,1106200
19910423,167310880.00,107015.00,5789.60,456700
19910424,166474490.00,104658.00,5783.20,329900
19910425,166401810.00,103417.00,5851.10,463900
19910426,153504110.00,92038.00,4874.90,345900
19910429,149176030.00,102036.00,5115.50,712500
19910430,204486610.00,118804.00,7262.20,613300
19910501,181330420.00,105371.00,6222.90,457900
19910502,185672200.00,110875.00,6087.70,389600
19910503,157882850.00,91742.00,5426.90,239300
19910506,127994550.00,88201.00,4373.90,250100
19910507,152991000.00,97701.00,5145.20,344200
19910508,157171880.00,98166.00,5453.90,286400
19910509,179651380.00,111653.00,6344.20,559400
19910510,172526710.00,113186.00,5955.40,238200
19910513,129169840.00,89840.00,4463.70,445800
19910514,207448830.00,106999.00,6704.00,489600
19910515,192847920.00,107932.00,6690.80,368600
19910516,154170550.00,91300.00,5358.50,307200
19910517,173633050.00,94262.00,6417.00,562900
19910520,109340560.00,76528.00,3757.80,172900
19910521,187551010.00,98896.00,6273.40,394800
19910522,158960990.00,92349.00,5265.00,307400
19910523,172777920.00,107506.00,5640.70,300800
19910524,124502700.00,76837.00,4266.40,143500
19910528,161995040.00,98618.00,5600.40,405100
19910529,188138550.00,105569.00,6559.90,300700
19910530,234289930.00,125170.00,8079.50,349300
19910531,231917060.00,124999.00,8353.00,366900
19910603,173693920.00,107669.00,6240.20,279800
19910604,180139340.00,107082.00,6264.00,289000
19910605,186265760.00,110093.00,6264.00,263400
19910606,168010440.00,97005.00,5620.00,209000
19910607,167697620.00,99937.00,5930.80,224200
19910610,127384650.00,84672.00,4278.00,296800
19910611,161182280.00,90918.00,5387.60,372600
19910612,165565620.00,99898.00,5730.00,432200
19910613,146612710.00,84041.00,5028.10,336000
19910614,168932140.00,92024.00,5922.70,211700
19910617,133719350.00,84133.00,4452.80,335300
19910618,155409820.00,96944.00,5294.50,491800
19910619,159285547.00,90486.00,5587.20,339900
19910620,163199430.00,93775.00,5825.20,781900
19910621,194212980.00,117521.00,7242.70,411400
19910624,137730810.00,84063.00,4593.40,200000
19910625,156777160.00,92833.00,5116.90,261900
19910626,187194210.00,102472.00,6096.30,223800
19910627,162784970.00,89803.00,5608.30,286200
19910628,163452747.00,100535.00,5280.60,312800
19910701,167242980.00,97579.00,5841.00,232400
19910702,157161600.00,91017.00,5377.10,169200
19910703,140379720.00,88827.00,4651.70,196300
19910705,69643600.00,53957.00,2331.20,265300
19910708,138887480.00,90276.00,4770.00,219300
19910709,151389900.00,95861.00,5068.60,420300
19910710,177887620.00,111037.00,6160.80,999100
19910711,157471090.00,97520.00,5221.30,450800
19910712,173907171.00,103095.00,5911.10,862100
19910715,160190245.00,100138.00,5377.80,511800
19910716,180632330.00,102669.00,5839.90,377000
19910717,192351800.00,104143.00,6227.40,1557800
19910718,198520216.00,106986.00,6526.00,1184100
19910719,189552080.00,107803.00,6647.60,456100
19910722,147948480.00,91664.00,4876.70,301700
19910723,159213530.00,97507.00,5335.80,479600
19910724,157998010.00,90244.00,5296.90,349300
19910725,144469070.00,84319.00,4856.10,174400
19910726,126390000.00,77840.00,4180.10,200600
19910729,133331120.00,81921.00,4503.30,201600
19910730,167627620.00,99070.00,5724.50,110700
19910731,165441521.00,99571.00,5574.30,139000
19910801,168085230.00,96664.00,5760.00,392700
19910802,160228940.00,94287.00,5404.30,861200
19910805,126503400.00,80201.00,4222.40,236600
19910806,173924530.00,108054.00,6203.70,612000
19910807,171580180.00,101168.00,5980.70,632600
19910808,163431840.00,103310.00,5449.30,438700
19910809,143640640.00,93003.00,4840.40,423600
19910812,145007880.00,91152.00,4595.30,596400
19910813,212339000.00,125988.00,7101.60,424500
19910814,195211070.00,117357.00,6661.90,906700
19910815,173844650.00,100457.00,5810.30,830600
19910816,189044670.00,131054.00,6881.70,431300
19910819,229654690.00,158593.00,8061.40,685300
19910820,183848590.00,118036.00,6538.70,415200
19910821,232178960.00,130445.00,8337.00,503100
19910822,172710030.00,107177.00,6026.30,383200
19910823,188298190.00,114895.00,6509.00,555700
19910826,130292740.00,85545.00,4238.50,257100
19910827,144482480.00,93926.00,4833.00,188500
19910828,171546220.00,103972.00,5852.20,402500
19910829,153665950.00,95053.00,5165.50,487600
19910830,143228586.00,83489.00,4835.80,211600
19910903,153528450.00,99257.00,5168.10,174900
19910904,157364540.00,98064.00,5356.70,140100
19910905,161521420.00,95996.00,5407.00,119900
19910906,166636600.00,101045.00,5802.40,338100
19910909,114852875.00,72958.00,3967.00,150000
19910910,142822610.00,92938.00,4928.80,295300
19910911,147677840.00,88426.00,5197.90,167900
19910912,159924900.00,95539.00,5518.40,193000
19910913,167465650.00,101373.00,5940.80,154300
19910916,172092608.00,103935.00,5777.30,203600
19910917,167715190.00,93259.00,5813.20,302600
19910918,140472280.00,80426.00,4743.90,288400
19910919,209774870.00,107422.00,7307.10,171500
19910920,253306453.00,135447.00,9625.40,187000
19910923,141873010.00,91580.00,4787.00,214900
19910924,170119330.00,97090.00,5811.40,235700
19910925,152822840.00,90765.00,5216.90,235800
19910926,157921780.00,94857.00,5224.90,242400
19910927,159122620.00,95346.00,5195.70,247400
19910930,149494656.00,98842.00,4995.50,326800
19911001,165145390.00,93205.00,5422.80,331900
19911002,166124970.00,93098.00,5500.00,244400
19911003,173925700.00,94145.00,5678.30,460200
19911004,163564350.00,92148.00,5233.00,533500
19911007,148175030.00,88057.00,4867.70,351800
19911008,176533302.00,101654.00,5917.00,574800
19911009,186277650.00,103892.00,6148.90,410800
19911010,163836430.00,96766.00,5576.50,361500
19911011,148523530.00,84629.00,4753.20,308200
19911014,129911880.00,82973.00,4254.70,214400
19911015,213619330.00,120801.00,7227.10,345800
19911016,224998070.00,121932.00,7590.00,399800
19911017,205684600.00,115762.00,7147.10,333300
19911018,205062374.00,112044.00,7264.70,189900
19911021,153842170.00,96693.00,5013.00,268300
19911022,194062240.00,117491.00,6707.10,322800
19911023,187031020.00,104247.00,6285.10,318900
19911024,178626190.00,108076.00,5991.00,250600
19911025,166684110.00,94899.00,5529.80,159300
19911028,160887030.00,100820.00,5426.40,126000
19911029,191915890.00,124255.00,6609.70,346200
19911030,199331099.00,116018.00,6722.30,412600
19911031,180908970.00,105395.00,5835.70,548400
19911101,204837019.00,126109.00,6907.90,390000
19911104,154326390.00,97191.00,4781.50,201700
19911105,170604300.00,104193.00,5429.80,170500
19911106,165689210.00,103474.00,5438.50,189700
19911107,204651700.00,112790.00,6742.20,645900
19911108,181510240.00,105539.00,6053.20,352600
19911111,128564220.00,87315.00,4151.70,159800
19911112,197702120.00,122355.00,6849.80,569500
19911113,184094472.00,118687.00,6273.00,379800
19911114,199710210.00,118086.00,6794.20,330900
19911115,238954560.00,140820.00,8491.10,345200
19911118,240683990.00,166567.00,8736.00,254900
19911119,241058070.00,156971.00,8424.30,357100
19911120,195895380.00,117093.00,6865.20,255600
19911121,195931395.00,120182.00,6323.10,233300
19911122,187837040.00,114789.00,6244.70,276000
19911125,175647650.00,105723.00,5746.00,111200
19911126,213509960.00,130516.00,7541.50,264000
19911127,167141872.00,88301.00,5378.00,547500
19911129,78471842.00,52160.00,2422.50,150200
19911202,188077380.00,119087.00,6183.50,370900
